いづれか	何れか	名詞	歴史的仮名遣い
いと	厭	動詞ハ行四段	歴史的仮名遣い
いぬゐ	乾	名詞	歴史的仮名遣い
いは	岩	名詞	歴史的仮名遣い
いは	祝	動詞ハ行四段	歴史的仮名遣い
いはく	曰く	副詞	歴史的仮名遣い
いはく	曰く	名詞	歴史的仮名遣い
いはな	いはな	名詞	歴史的仮名遣い
いはな	イハナ	名詞	歴史的仮名遣い
いはな	嘉魚	名詞	歴史的仮名遣い,熟字訓
いはな	岩魚	名詞	歴史的仮名遣い
いはゆる	いはゆる	連体詞	歴史的仮名遣い
いはゆる	言はゆる	連体詞	歴史的仮名遣い
いはゆる	所謂	連体詞	歴史的仮名遣い
いはんや	況んや	副詞	歴史的仮名遣い
いへども	雖も	副詞	歴史的仮名遣い
いむむ	淫夢	名詞	広韻
いむれう	飲料	名詞	広韻
いらっしゃいました	居らっしゃいました	抑制単語
いらっしゃいまして	居らっしゃいまして	抑制単語
いらっしゃいます	居らっしゃいます	抑制単語
いらっしゃいません	居らっしゃいません	抑制単語
いらっしゃった	居らっしゃった	抑制単語
いらっしゃって	居らっしゃって	抑制単語
いらっしゃっていた	居らっしゃっていた	抑制単語
いらっしゃっていました	居らっしゃっていました	抑制単語
いらっしゃっていましょう	居らっしゃっていましょう	抑制単語
いらっしゃっています	居らっしゃっています	抑制単語
いらっしゃっていよう	居らっしゃっていよう	抑制単語
いらっしゃっている	居らっしゃっている	抑制単語
いらっしゃってた	居らっしゃってた	抑制単語
いらっしゃってます	居らっしゃってます	抑制単語
いらっしゃってる	居らっしゃってる	抑制単語
いらっしゃらせます	居らっしゃらせます	抑制単語
いらっしゃらせられます	居らっしゃらせられます	抑制単語
いらっしゃらせられる	居らっしゃらせられる	抑制単語
いらっしゃらせる	居らっしゃらせる	抑制単語
いらっしゃらない	居らっしゃらない	抑制単語
いらっしゃられます	居らっしゃられます	抑制単語
いらっしゃられる	居らっしゃられる	抑制単語
いらっしゃる	居らっしゃる	抑制単語
いれかへ	入れ替へ	動詞一段	歴史的仮名遣い
いわう	硫黄	名詞	詩韻
